Dataset: cpsat8_k1  X=(1379, 95)  X_rep=(1379, 8)  conf range [0.111, 1.000]
    2016: borda= 59.06  oracle= 61.63  acc= 86.3%  (C=34.1, g=0.0015, wpow=1.27, 331s)
    2017: borda= 58.24  oracle= 67.28  acc= 81.5%  (C=42.3, g=0.00437, wpow=1.32, 259s)
    2018: borda= 58.04  oracle= 63.24  acc= 83.3%  (C=34.7, g=0.00198, wpow=0.59, 260s)
    2019: borda= 56.09  oracle= 62.53  acc= 71.9%  (C=28.8, g=0.0087, wpow=0.70, 312s)
    2020: borda= 58.35  oracle= 61.61  acc= 77.7%  (C=32.2, g=0.00114, wpow=0.51, 343s)
    2021: borda= 56.26  oracle= 64.91  acc= 79.1%  (C=6.73, g=0.00239, wpow=1.10, 209s)
    2022: borda= 58.00  oracle= 66.40  acc= 69.6%  (C=16.1, g=0.00231, wpow=0.62, 197s)
    2023: borda= 54.10  oracle= 63.33  acc= 67.8%  (C=21.3, g=0.00209, wpow=1.00, 233s)
    2024: borda= 54.41  oracle= 61.51  acc= 70.2%  (C=37.5, g=0.00256, wpow=0.53, 180s)
    2025: borda= 49.09  oracle= 59.02  acc= 72.7%  (C=36.1, g=0.00417, wpow=0.72, 275s)
  totals: borda=863.98  oracle=966.61  cpsat=788.87  ratio=0.894
