experiment,fold_label,n_test,test_borda,oracle,cpsat_baseline,accuracy,inner_cv_score,fit_seconds,best_params
BagSVM-MW/log_std,2011,100,62.24656286524626,66.16057728753033,60.63946083959932,0.81,0.6404513703354265,277.4402828216553,"{""C"": 29.291055642899224, ""gamma"": 0.026270392407326898, ""wpow"": 1.1181900305727643, ""max_samples"": 0.9015549195649067}"
BagSVM-MW/log_std,2012,100,57.761773256945936,66.76423019743656,57.761773256945936,0.82,0.643734803326798,343.13495206832886,"{""C"": 4.869491810315095, ""gamma"": 0.11152980504801557, ""wpow"": 0.8068657021101373, ""max_samples"": 0.9704773201257991}"
BagSVM-MW/log_std,2013,96,60.007596241742874,67.73596946331787,53.65464800803111,0.7291666666666666,0.6386296019653707,336.3886740207672,"{""C"": 1.7952296162707926, ""gamma"": 0.12811581294777305, ""wpow"": 0.963672697274056, ""max_samples"": 0.938363077009676}"
BagSVM-MW/log_std,2014,98,69.05552236206888,72.25364395703092,66.97501411605869,0.9183673469387755,0.6311745743483246,313.6820297241211,"{""C"": 14.741312197037724, ""gamma"": 0.020126439281201003, ""wpow"": 1.8339772726292993, ""max_samples"": 0.998489891428831}"
BagSVM-MW/log_std,2015,91,58.22649931555129,63.630977928940375,50.12686375847367,0.7802197802197802,0.636089877274032,350.3754723072052,"{""C"": 17.125015946863833, ""gamma"": 0.1093918655395659, ""wpow"": 0.6239088608908049, ""max_samples"": 0.9709268528162576}"
BagSVM-MW/log_std,2016,95,63.31501339214909,65.35782694025467,63.31501339214909,0.9578947368421052,0.6401749224442695,401.11327743530273,"{""C"": 20.690550086963334, ""gamma"": 0.03290554063120769, ""wpow"": 1.674944303020169, ""max_samples"": 0.8847911208853647}"
BagSVM-MW/log_std,2017,92,56.32951346070086,68.14124961910427,51.88821575620379,0.75,0.6372408099563228,372.54883337020874,"{""C"": 40.2781416652054, ""gamma"": 0.01748255905421295, ""wpow"": 1.9118776047276502, ""max_samples"": 0.8557873865083512}"
BagSVM-MW/log_std,2018,90,62.0037266155331,67.21773699163016,62.0037266155331,0.8777777777777778,0.6376748260585983,289.58288192749023,"{""C"": 7.982221825532284, ""gamma"": 0.08222665919565982, ""wpow"": 1.8161803531654397, ""max_samples"": 0.980477748925742}"
BagSVM-MW/log_std,2019,89,60.53426185223153,64.36738675198414,58.85832127898245,0.7752808988764045,0.6408368632124287,296.6272485256195,"{""C"": 68.01062370347172, ""gamma"": 0.021287069366366207, ""wpow"": 1.4357547205293533, ""max_samples"": 0.9991947281563327}"
BagSVM-MW/log_std,2020,94,58.3655202416044,62.91335568772955,55.89131998190203,0.8617021276595744,0.6476291612124958,217.996817111969,"{""C"": 36.86215287714566, ""gamma"": 0.01659255085079527, ""wpow"": 2.0753878988381604, ""max_samples"": 0.9089239956804324}"
BagSVM-MW/log_std,2021,91,56.076068313856815,66.10147650368233,55.33382015084676,0.8021978021978022,0.6398191422273468,212.98398756980896,"{""C"": 87.89797380996038, ""gamma"": 0.03299263281612611, ""wpow"": 1.330355125636629, ""max_samples"": 0.6019309179916568}"
BagSVM-MW/log_std,2022,92,59.805731809607686,67.44317067624243,57.0531407633051,0.75,0.6441672707118026,357.4673185348511,"{""C"": 10.504740696125575, ""gamma"": 0.11242748290142582, ""wpow"": 0.7469576739707948, ""max_samples"": 0.9803831794268992}"
BagSVM-MW/log_std,2023,90,59.37027749123554,67.00652436876254,59.37027749123554,0.8222222222222222,0.6387514168973858,409.6790261268616,"{""C"": 13.032330530271414, ""gamma"": 0.032115648853136385, ""wpow"": 0.9258591348729863, ""max_samples"": 0.9529227549095807}"
BagSVM-MW/log_std,2024,84,55.483029055863355,63.661677013140334,52.49840388449124,0.7619047619047619,0.6386059246493214,348.9541959762573,"{""C"": 19.591962306423493, ""gamma"": 0.042775212536800625, ""wpow"": 1.293770926134403, ""max_samples"": 0.9514508026332132}"
BagSVM-MW/log_std,2025,77,44.9600906037912,57.33374672341028,43.865725701068335,0.7142857142857143,0.6431549317775245,317.5346932411194,"{""C"": 2.5615179980526075, ""gamma"": 0.11808555209118228, ""wpow"": 0.9612394241927873, ""max_samples"": 0.9488589097261811}"
BagSVM-MW/quantile,2011,100,61.71322953191293,66.16057728753033,60.63946083959932,0.78,0.6383627908897911,377.2773082256317,"{""C"": 78.76131825081674, ""gamma"": 0.004979750697532454, ""wpow"": 1.6147364317219326, ""max_samples"": 0.844078248969097}"
BagSVM-MW/quantile,2012,100,57.54629706646974,66.76423019743656,57.761773256945936,0.81,0.6429739022249242,417.0365743637085,"{""C"": 32.18210695122286, ""gamma"": 0.10915036440359799, ""wpow"": 2.2608993247527494, ""max_samples"": 0.9855067874008555}"
BagSVM-MW/quantile,2013,96,59.542807509348506,67.73596946331787,53.65464800803111,0.71875,0.6379723652045441,535.8071830272675,"{""C"": 3.5406163386104734, ""gamma"": 0.11476809785348706, ""wpow"": 1.2925480872844708, ""max_samples"": 0.8010903286566632}"
BagSVM-MW/quantile,2014,98,68.06089355453928,72.25364395703092,66.97501411605869,0.9081632653061225,0.6306876123423224,274.0609977245331,"{""C"": 16.769482587447946, ""gamma"": 0.003724573642851319, ""wpow"": 0.9916491047141969, ""max_samples"": 0.8449098826966549}"
BagSVM-MW/quantile,2015,91,58.2264718164221,63.630977928940375,50.12686375847367,0.7582417582417582,0.6356685367876154,398.5823769569397,"{""C"": 15.243629748499835, ""gamma"": 0.07812984477033817, ""wpow"": 1.6172383668153574, ""max_samples"": 0.9956080007661111}"
BagSVM-MW/quantile,2016,95,63.314988809502026,65.35782694025467,63.31501339214909,0.9473684210526315,0.639033190716025,321.0782506465912,"{""C"": 38.0732347967209, ""gamma"": 0.008497899627232477, ""wpow"": 1.684777988808353, ""max_samples"": 0.9435230439946986}"
BagSVM-MW/quantile,2017,92,56.422094133763636,68.14124961910427,51.88821575620379,0.75,0.6382206212984471,287.3703179359436,"{""C"": 22.60749630307591, ""gamma"": 0.003460817686357028, ""wpow"": 0.8740996109203012, ""max_samples"": 0.8978644569579275}"
BagSVM-MW/quantile,2018,90,62.0037266155331,67.21773699163016,62.0037266155331,0.8777777777777778,0.6374535050455343,358.24954414367676,"{""C"": 4.5195874241087655, ""gamma"": 0.03373843799077188, ""wpow"": 1.220745887393067, ""max_samples"": 0.9997653976350742}"
BagSVM-MW/quantile,2019,89,61.0009285188982,64.36738675198414,58.85832127898245,0.7865168539325843,0.6373553029656924,463.376455783844,"{""C"": 9.47042181902096, ""gamma"": 0.014170713757663779, ""wpow"": 1.37098331336795, ""max_samples"": 0.972089886653437}"
BagSVM-MW/quantile,2020,94,56.79131998190203,62.91335568772955,55.89131998190203,0.8617021276595744,0.6454984651631193,417.83972668647766,"{""C"": 68.45570267272907, ""gamma"": 0.028504320627871515, ""wpow"": 1.2374575454421948, ""max_samples"": 0.6071847502459279}"
BagSVM-MW/quantile,2021,91,56.076068313856815,66.10147650368233,55.33382015084676,0.8021978021978022,0.6396021754171394,397.9737229347229,"{""C"": 40.32965198984056, ""gamma"": 0.00925166144692229, ""wpow"": 1.6746848329138542, ""max_samples"": 0.7102177578384641}"
BagSVM-MW/quantile,2022,92,60.599117635231664,67.44317067624243,57.0531407633051,0.782608695652174,0.6437191901924387,331.77818608283997,"{""C"": 54.23360823110528, ""gamma"": 0.16079111269405882, ""wpow"": 2.167540935437653, ""max_samples"": 0.8945632483393829}"
BagSVM-MW/quantile,2023,90,59.37027749123554,67.00652436876254,59.37027749123554,0.8222222222222222,0.637461995678837,311.1725027561188,"{""C"": 9.47042181902096, ""gamma"": 0.02220085106531086, ""wpow"": 1.6359239703665773, ""max_samples"": 0.9575710416393786}"
BagSVM-MW/quantile,2024,84,55.483029055863355,63.661677013140334,52.49840388449124,0.7619047619047619,0.6371050568972798,338.5616626739502,"{""C"": 27.835710156270338, ""gamma"": 0.044994664190943695, ""wpow"": 2.2504216604276217, ""max_samples"": 0.8579260401393722}"
BagSVM-MW/quantile,2025,77,44.9600906037912,57.33374672341028,43.865725701068335,0.7142857142857143,0.6441467530576661,405.58362460136414,"{""C"": 11.70190221018284, ""gamma"": 0.029766887504681774, ""wpow"": 1.7173018557667632, ""max_samples"": 0.9695274180325996}"
SVM-RBF/std,2011,100,61.57993703007551,66.16057728753033,60.63946083959932,0.87,0.6319324617481487,18.286062955856323,"{""C"": 1.2480604638491823, ""gamma"": 6.841768863453917, ""class_weight"": null}"
SVM-RBF/std,2012,100,57.761773256945936,66.76423019743656,57.761773256945936,0.82,0.6381244554452733,19.726927280426025,"{""C"": 0.13661468492582368, ""gamma"": 7.772120052956402, ""class_weight"": ""balanced""}"
SVM-RBF/std,2013,96,55.52588474362514,67.73596946331787,53.65464800803111,0.65625,0.6356488749271543,21.391096591949463,"{""C"": 1.2366564584216324, ""gamma"": 6.762232898342582, ""class_weight"": null}"
SVM-RBF/std,2014,98,64.9259241607845,72.25364395703092,66.97501411605869,0.8367346938775511,0.6229707037962389,13.464988470077515,"{""C"": 4.581894098295076, ""gamma"": 0.09018203951766535, ""class_weight"": null}"
SVM-RBF/std,2015,91,52.78770999050885,63.630977928940375,50.12686375847367,0.7032967032967034,0.6328967045094448,30.20152759552002,"{""C"": 0.11743375097189594, ""gamma"": 4.976872836520956, ""class_weight"": ""balanced""}"
SVM-RBF/std,2016,95,62.814134484582496,65.35782694025467,63.31501339214909,0.9157894736842105,0.6316142352120446,18.282721757888794,"{""C"": 1.1679971040682993, ""gamma"": 1.8853007909781145, ""class_weight"": null}"
SVM-RBF/std,2017,92,56.934649586833395,68.14124961910427,51.88821575620379,0.75,0.6307203771485688,26.809422731399536,"{""C"": 82.35573703712849, ""gamma"": 4.493820824807658, ""class_weight"": ""balanced""}"
SVM-RBF/std,2018,90,63.00385377314426,67.21773699163016,62.0037266155331,0.8888888888888888,0.6281617896929383,20.751665115356445,"{""C"": 1.9264601819926757, ""gamma"": 2.0257073828994883, ""class_weight"": null}"
SVM-RBF/std,2019,89,59.10576292072481,64.36738675198414,58.85832127898245,0.7752808988764045,0.6288473699814922,20.418245315551758,"{""C"": 5.739590911445966, ""gamma"": 0.35659699798188516, ""class_weight"": null}"
SVM-RBF/std,2020,94,56.125424625463964,62.91335568772955,55.89131998190203,0.8191489361702128,0.6346148669065499,26.693480253219604,"{""C"": 5.582880426510881, ""gamma"": 0.4675139565008547, ""class_weight"": null}"
SVM-RBF/std,2021,91,56.076068313856815,66.10147650368233,55.33382015084676,0.8351648351648352,0.6329775207979395,27.605444192886353,"{""C"": 1.0176408360215836, ""gamma"": 1.220606156625184, ""class_weight"": null}"
SVM-RBF/std,2022,92,58.59910763606494,67.44317067624243,57.0531407633051,0.7608695652173914,0.6352202261892161,25.51325035095215,"{""C"": 7.454855945114032, ""gamma"": 0.3244010859484325, ""class_weight"": null}"
SVM-RBF/std,2023,90,57.37027749123554,67.00652436876254,59.37027749123554,0.8,0.630309398187138,27.608743906021118,"{""C"": 3.627028272185945, ""gamma"": 1.073602752396737, ""class_weight"": null}"
SVM-RBF/std,2024,84,54.36289372223943,63.661677013140334,52.49840388449124,0.7857142857142857,0.6309741674455084,29.80591344833374,"{""C"": 2.5806598201863418, ""gamma"": 1.694274082566462, ""class_weight"": null}"
SVM-RBF/std,2025,77,43.06322496266132,57.33374672341028,43.865725701068335,0.7272727272727273,0.6350571025471594,22.70406436920166,"{""C"": 3.433464159266823, ""gamma"": 1.2584055770066387, ""class_weight"": null}"
SVM-RBF/log_std,2011,100,58.273177064254895,66.16057728753033,60.63946083959932,0.8,0.6379173543158263,15.85347032546997,"{""C"": 21.582601262057892, ""gamma"": 0.04779405334136807, ""class_weight"": null}"
SVM-RBF/log_std,2012,100,57.41983777307497,66.76423019743656,57.761773256945936,0.81,0.6387667117960808,21.49428081512451,"{""C"": 99.12830895799159, ""gamma"": 0.7864903651688838, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2013,96,58.079205032966044,67.73596946331787,53.65464800803111,0.6770833333333334,0.6357117746821552,21.34700918197632,"{""C"": 29.323098450371685, ""gamma"": 0.1996918887996687, ""class_weight"": null}"
SVM-RBF/log_std,2014,98,68.10800995311327,72.25364395703092,66.97501411605869,0.9081632653061225,0.6260271817514358,27.388866424560547,"{""C"": 0.21201157282689112, ""gamma"": 0.15887759996626935, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2015,91,53.2633936848165,63.630977928940375,50.12686375847367,0.7142857142857143,0.6318579753220617,35.12725067138672,"{""C"": 0.10882553494805526, ""gamma"": 1.7855240248456004, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2016,95,63.34339411180889,65.35782694025467,63.31501339214909,0.8526315789473684,0.638481577614838,18.801823616027832,"{""C"": 0.2077233413072752, ""gamma"": 0.11011063704260872, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2017,92,58.40657724513197,68.14124961910427,51.88821575620379,0.782608695652174,0.6357966284143982,25.530172109603882,"{""C"": 54.99042848728565, ""gamma"": 0.10930815404410098, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2018,90,62.075155186961666,67.21773699163016,62.0037266155331,0.8888888888888888,0.6336629584031117,20.106114149093628,"{""C"": 2.459335701902274, ""gamma"": 0.36309537417350574, ""class_weight"": null}"
SVM-RBF/log_std,2019,89,58.883556531532456,64.36738675198414,58.85832127898245,0.7865168539325843,0.6373281123041447,27.33646583557129,"{""C"": 4.901918645162463, ""gamma"": 0.1964632951140177, ""class_weight"": null}"
SVM-RBF/log_std,2020,94,56.039878150047386,62.91335568772955,55.89131998190203,0.8297872340425532,0.6411071857106265,16.412233591079712,"{""C"": 11.022824039246707, ""gamma"": 0.04326229160254063, ""class_weight"": null}"
SVM-RBF/log_std,2021,91,56.02257899829562,66.10147650368233,55.33382015084676,0.8131868131868132,0.635725760206777,17.178735494613647,"{""C"": 3.218114276611409, ""gamma"": 0.3604037738100549, ""class_weight"": null}"
SVM-RBF/log_std,2022,92,60.599151800560186,67.44317067624243,57.0531407633051,0.7934782608695652,0.6384763289449558,26.026877641677856,"{""C"": 4.422971973505224, ""gamma"": 0.3152973752926452, ""class_weight"": null}"
SVM-RBF/log_std,2023,90,57.37027749123554,67.00652436876254,59.37027749123554,0.8,0.6359122818204572,25.984618663787842,"{""C"": 17.255380507566016, ""gamma"": 0.2623304637804928, ""class_weight"": null}"
SVM-RBF/log_std,2024,84,55.471237041396726,63.661677013140334,52.49840388449124,0.7857142857142857,0.6345635750953684,21.97107696533203,"{""C"": 3.65351477117549, ""gamma"": 0.29957363803531756, ""class_weight"": null}"
SVM-RBF/log_std,2025,77,44.21295056434347,57.33374672341028,43.865725701068335,0.7402597402597403,0.6393511375069802,18.84672522544861,"{""C"": 4.733801682902753, ""gamma"": 0.2607175828223395, ""class_weight"": null}"
SVM-RBF-MW/quantile,2011,100,61.71322953191293,66.16057728753033,60.63946083959932,0.78,0.6403847414649817,62.608232259750366,"{""C"": 19.9587678899286, ""gamma"": 0.010801370998734622, ""wpow"": 1.8546296542001854}"
SVM-RBF-MW/quantile,2012,100,57.546254151787885,66.76423019743656,57.761773256945936,0.8,0.6438497145126394,57.93681764602661,"{""C"": 69.07592391425555, ""gamma"": 0.042038513732958575, ""wpow"": 2.289636445725777}"
SVM-RBF-MW/quantile,2013,96,60.30123513658117,67.73596946331787,53.65464800803111,0.7395833333333334,0.6410211337251692,74.57581400871277,"{""C"": 5.460260838356894, ""gamma"": 0.011876087575874168, ""wpow"": 0.5499258815315369}"
SVM-RBF-MW/quantile,2014,98,67.47863433075824,72.25364395703092,66.97501411605869,0.8877551020408163,0.6315615848861362,58.87006187438965,"{""C"": 15.630935400797535, ""gamma"": 0.0063334778786589855, ""wpow"": 1.468262143616834}"
SVM-RBF-MW/quantile,2015,91,56.78034288068567,63.630977928940375,50.12686375847367,0.6923076923076923,0.6354296715218105,87.40159463882446,"{""C"": 1.976218934028007, ""gamma"": 0.014618962793704957, ""wpow"": 1.723705789444759}"
SVM-RBF-MW/quantile,2016,95,62.02543111873449,65.35782694025467,63.31501339214909,0.8736842105263158,0.640842758332286,60.562543869018555,"{""C"": 76.52061525376506, ""gamma"": 0.020490705927278436, ""wpow"": 0.9516673157940805}"
SVM-RBF-MW/quantile,2017,92,60.77349507417517,68.14124961910427,51.88821575620379,0.8152173913043478,0.640048314494716,54.302541971206665,"{""C"": 86.56703305781328, ""gamma"": 0.01843301556759183, ""wpow"": 1.386852723254052}"
SVM-RBF-MW/quantile,2018,90,62.075155186961666,67.21773699163016,62.0037266155331,0.8888888888888888,0.6374101525948704,81.15515279769897,"{""C"": 2.7975172966172606, ""gamma"": 0.0842101159856166, ""wpow"": 1.0014581369632605}"
SVM-RBF-MW/quantile,2019,89,60.70816881270723,64.36738675198414,58.85832127898245,0.7752808988764045,0.6405760679938632,80.77341389656067,"{""C"": 22.564556893498303, ""gamma"": 0.00999893287143537, ""wpow"": 1.5540993930664162}"
SVM-RBF-MW/quantile,2020,94,56.27204586821869,62.91335568772955,55.89131998190203,0.8085106382978723,0.6445529739275353,77.68905830383301,"{""C"": 46.38729120194833, ""gamma"": 0.012175071601139323, ""wpow"": 2.229445368872785}"
SVM-RBF-MW/quantile,2021,91,57.007735246445456,66.10147650368233,55.33382015084676,0.8241758241758241,0.6422873787354524,58.45852828025818,"{""C"": 3.4999038398519184, ""gamma"": 0.5911189560650557, ""wpow"": 0.6338611346619076}"
SVM-RBF-MW/quantile,2022,92,57.578185937427364,67.44317067624243,57.0531407633051,0.7282608695652174,0.6447314658182499,75.45579433441162,"{""C"": 59.59022224471539, ""gamma"": 0.036657615963517076, ""wpow"": 1.0444510055662375}"
SVM-RBF-MW/quantile,2023,90,57.37027749123554,67.00652436876254,59.37027749123554,0.8,0.6403480701565211,56.744978189468384,"{""C"": 5.169218928667861, ""gamma"": 0.1241637089098442, ""wpow"": 0.7633188421986348}"
SVM-RBF-MW/quantile,2024,84,54.39083004968343,63.661677013140334,52.49840388449124,0.7619047619047619,0.6375750517585926,67.63616561889648,"{""C"": 1.5882214720508396, ""gamma"": 0.682763879095027, ""wpow"": 0.6089555752215172}"
SVM-RBF-MW/quantile,2025,77,44.9600906037912,57.33374672341028,43.865725701068335,0.7142857142857143,0.6452217794298057,64.8972704410553,"{""C"": 4.153140493700095, ""gamma"": 0.006812564350201546, ""wpow"": 0.5947883594152212}"
BagSVM-MW/log_quantile,2011,100,61.71322953191293,66.16057728753033,60.63946083959932,0.78,0.6383627908897911,408.2098126411438,"{""C"": 78.76131825081674, ""gamma"": 0.004979750697532454, ""wpow"": 1.6147364317219326, ""max_samples"": 0.844078248969097}"
BagSVM-MW/log_quantile,2012,100,57.54629706646974,66.76423019743656,57.761773256945936,0.81,0.6423483927860006,389.42742824554443,"{""C"": 61.19301659798321, ""gamma"": 0.1439350495942996, ""wpow"": 2.1026324889998875, ""max_samples"": 0.9677655078874414}"
BagSVM-MW/log_quantile,2013,96,59.542807509348506,67.73596946331787,53.65464800803111,0.71875,0.6379723652045441,386.23122096061707,"{""C"": 3.5406163386104734, ""gamma"": 0.11476809785348706, ""wpow"": 1.2925480872844708, ""max_samples"": 0.8010903286566632}"
BagSVM-MW/log_quantile,2014,98,67.97501411605869,72.25364395703092,66.97501411605869,0.8979591836734694,0.6288686005752897,304.4659843444824,"{""C"": 1.9252288909210618, ""gamma"": 0.03782675242035058, ""wpow"": 0.7888909102273529, ""max_samples"": 0.8796115217665699}"
BagSVM-MW/log_quantile,2015,91,58.2264718164221,63.630977928940375,50.12686375847367,0.7582417582417582,0.6356109323743604,343.8278274536133,"{""C"": 15.243629748499835, ""gamma"": 0.07812984477033817, ""wpow"": 1.6172383668153574, ""max_samples"": 0.9956080007661111}"
BagSVM-MW/log_quantile,2016,95,63.314988809502026,65.35782694025467,63.31501339214909,0.9473684210526315,0.639033190716025,313.47681856155396,"{""C"": 38.0732347967209, ""gamma"": 0.008497899627232477, ""wpow"": 1.684777988808353, ""max_samples"": 0.9435230439946986}"
BagSVM-MW/log_quantile,2017,92,56.422094133763636,68.14124961910427,51.88821575620379,0.75,0.6378862409154297,385.4630403518677,"{""C"": 22.60749630307591, ""gamma"": 0.003460817686357028, ""wpow"": 0.8740996109203012, ""max_samples"": 0.8978644569579275}"
BagSVM-MW/log_quantile,2018,90,62.0037266155331,67.21773699163016,62.0037266155331,0.8777777777777778,0.6374535050455343,500.0064375400543,"{""C"": 4.5195874241087655, ""gamma"": 0.03373843799077188, ""wpow"": 1.220745887393067, ""max_samples"": 0.9997653976350742}"
