experiment,total_borda,total_oracle,total_cpsat,oracle_ratio,accuracy,n_total,extras
RegretMLP/quantile,829.8043095357868,966.6094172240098,788.8748488121598,0.8584690928409209,0.7403915881073242,1379,"{""key"": ""regret_mlp_quantile"", ""n_trials"": 40}"
RegretMLP/log_quantile,831.6614532943111,966.6094172240098,788.8748488121598,0.860390389825444,0.7425670775924583,1379,"{""key"": ""regret_mlp_log_quantile"", ""n_trials"": 40}"
OutlierCombo/log_std,842.1005734804356,966.6094172240098,788.8748488121598,0.8711901192715987,0.7563451776649747,1379,"{""key"": ""outlier_combo_log_std"", ""n_trials"": 60}"
OutlierCombo/quantile,836.7072212634945,966.6094172240098,788.8748488121598,0.8656104589446486,0.7411167512690355,1379,"{""key"": ""outlier_combo_quantile"", ""n_trials"": 60}"
PairwiseRank/log_std,840.2976330383325,966.6094172240098,788.8748488121598,0.8693248980043768,0.7505438723712835,1379,"{""key"": ""pairwise_rank_log_std"", ""n_trials"": 60}"
PairwiseRank/quantile,841.6429218725859,966.6094172240098,788.8748488121598,0.8707166585337921,0.747643219724438,1379,"{""key"": ""pairwise_rank_quantile"", ""n_trials"": 60}"
RandSubspace-MW/log_std-n30,834.5120892368518,966.6094172240098,788.8748488121598,0.8633394982158086,0.7454677302393038,1379,"{""key"": ""rand_sub_log_std"", ""n_trials"": 60}"
RandSubspace-MW/quantile-n30,841.0184531376643,966.6094172240098,788.8748488121598,0.8700706181334047,0.7548948513415519,1379,"{""key"": ""rand_sub_quantile"", ""n_trials"": 60}"
RandSubspace-MW/log_std-n50,841.1537801094886,966.6094172240098,788.8748488121598,0.8702106198439332,0.7548948513415519,1379,"{""key"": ""rand_sub_log_std_n50"", ""n_trials"": 60}"
FE-BagSVM/log_std,841.03072469035,966.6094172240098,788.8748488121598,0.87008331359495,0.757070340826686,1379,"{""key"": ""fe_bag_log_std"", ""n_trials"": 60}"
HPDivBag-MW/log_std-n50,840.0738187424697,966.6094172240098,788.8748488121598,0.8690933522612104,0.7541696881798404,1379,"{""key"": ""hp_div_bag_log_std"", ""n_trials"": 60}"
BagSVM-MW/asinh_std,834.2916749136023,966.6094172240098,788.8748488121598,0.8631114698940046,0.751269035532995,1379,"{""key"": ""bag_svm_mw_asinh_std"", ""n_trials"": 60}"
BagSVM-MW/asinh_quantile,837.2922906625291,966.6094172240098,788.8748488121598,0.8662157389973869,0.7454677302393038,1379,"{""key"": ""bag_svm_mw_asinh_quantile"", ""n_trials"": 60}"
BagSVM-MW/rank_normal,841.392561904974,966.6094172240098,788.8748488121598,0.8704576501244482,0.7563451776649747,1379,"{""key"": ""bag_svm_mw_rank_normal"", ""n_trials"": 60}"
BagSVM-MW/rank_std,843.6507162597068,966.6094172240098,788.8748488121598,0.8727938102264448,0.7635968092820885,1379,"{""key"": ""bag_svm_mw_rank_std"", ""n_trials"": 60}"
BagSVM-MW/log_std,841.0787843733023,966.6094172240098,788.8748488121598,0.8701330334529359,0.7606961566352429,1379,"{""key"": ""bag_svm_mw_log_std_t300"", ""n_trials"": 300}"
