Dataset: cpsat8_ek1  X=(1379, 95)  X_rep=(1379, 8)  conf range [0.111, 1.000]
    2016: borda= 63.32  oracle= 65.36  acc= 95.8%  (C=7.71, g=0.00382, wpow=1.42, 271s)
    2017: borda= 59.57  oracle= 68.14  acc= 80.4%  (C=49, g=0.00406, wpow=0.52, 256s)
    2018: borda= 63.00  oracle= 67.22  acc= 88.9%  (C=49.8, g=0.00657, wpow=1.79, 345s)
    2019: borda= 61.49  oracle= 64.37  acc= 82.0%  (C=5.45, g=0.00286, wpow=1.02, 245s)
    2020: borda= 55.53  oracle= 62.91  acc= 75.5%  (C=33.8, g=0.00122, wpow=0.81, 192s)
    2021: borda= 60.83  oracle= 66.10  acc= 82.4%  (C=34.7, g=0.0027, wpow=0.53, 266s)
    2022: borda= 61.76  oracle= 67.44  acc= 76.1%  (C=18.2, g=0.00324, wpow=0.92, 222s)
    2023: borda= 55.09  oracle= 67.01  acc= 73.3%  (C=41.6, g=0.00312, wpow=0.73, 236s)
    2024: borda= 56.48  oracle= 63.66  acc= 77.4%  (C=25.5, g=0.0149, wpow=1.83, 241s)
    2025: borda= 49.74  oracle= 57.33  acc= 76.6%  (C=28.1, g=0.00392, wpow=0.64, 248s)
  totals: borda=891.46  oracle=986.09  cpsat=849.24  ratio=0.904
